name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Clifford Robinson,82,1940,373,806,6,205,314,349,151,78,76,133,957,1991
David Robinson*,82,3095,754,1366,1,592,777,1063,208,127,320,270,2101,1991
Larry Robinson,36,425,62,150,0,15,27,51,35,16,1,27,139,1991
Rumeal Robinson,47,674,108,242,2,47,80,71,132,32,8,76,265,1991
Dennis Rodman*,82,2747,276,560,6,111,176,1026,85,65,55,94,669,1991
Tree Rollins,37,202,14,33,0,8,14,42,4,2,20,15,36,1991
Delaney Rudd,82,874,124,285,17,59,71,66,216,36,2,102,324,1991
John Salley,74,1649,179,377,0,186,256,327,70,52,112,91,544,1991
Ralph Sampson*,25,348,34,93,1,5,19,111,17,11,17,27,74,1991
Jeff Sanders,3,43,6,14,0,1,2,9,1,1,1,1,13,1991
Mike Sanders,80,1357,206,494,4,47,57,185,106,37,26,65,463,1991
Danny Schayes,82,2228,298,597,0,274,328,535,98,55,61,106,870,1991
Steve Scheffler,39,227,20,39,0,19,21,45,9,6,2,4,59,1991
Dwayne Schintzius,42,398,68,155,0,22,40,121,17,2,29,34,158,1991
Detlef Schrempf,82,2632,432,831,15,441,539,660,301,58,22,175,1320,1991
Byron Scott,82,2630,501,1051,71,118,148,246,177,95,21,85,1191,1991
Dennis Scott,82,2336,503,1183,125,153,204,235,134,62,25,127,1284,1991
Rony Seikaly,64,2171,395,822,2,258,417,709,95,51,86,205,1050,1991
John Shasky,57,510,51,116,0,48,79,134,11,14,20,27,150,1991
Brian Shaw,79,2772,442,942,3,204,249,370,602,105,34,223,1091,1991
Jack Sikma*,77,1940,295,691,46,166,197,441,143,65,64,130,802,1991
Lionel Simmons,79,2978,549,1301,3,320,435,697,315,113,85,230,1421,1991
Scott Skiles,79,2714,462,1039,93,340,377,270,660,89,4,252,1357,1991
Charles Smith,74,2703,548,1168,0,384,484,608,134,81,145,165,1480,1991
Charles Smith,5,30,3,7,0,3,5,2,6,1,0,3,9,1991
Clinton Smith,5,45,2,4,0,3,6,4,4,1,0,1,7,1991
Derek Smith,2,16,1,4,0,3,4,0,5,1,1,1,5,1991
Kenny Smith,78,2699,522,1003,49,287,340,163,554,106,11,237,1380,1991
Larry Smith,81,1923,128,263,0,12,50,709,88,83,22,93,268,1991
Michael Smith,47,389,95,200,6,22,27,56,43,6,2,37,218,1991
Otis Smith,75,1885,407,902,9,221,301,389,169,85,35,140,1044,1991
Tony Smith,64,695,97,220,0,40,57,71,135,28,12,69,234,1991
Rik Smits,76,1690,342,705,0,144,189,357,84,24,111,86,828,1991
Mike Smrek,15,95,9,27,0,6,12,26,4,3,3,3,24,1991
Rory Sparrow,80,2375,371,756,31,58,83,186,362,83,16,126,831,1991
Felton Spencer,81,2099,195,381,0,182,252,641,25,48,121,77,572,1991
John Starks,61,1173,180,410,27,79,105,131,204,59,17,74,466,1991
Everette Stephens,3,6,2,3,0,2,2,0,2,0,0,0,6,1991
John Stockton*,82,3103,496,978,58,363,434,237,1164,234,16,298,1413,1991
Rod Strickland,58,2076,314,651,11,161,211,219,463,117,11,156,800,1991
Jon Sundvold,24,225,43,107,15,11,11,9,24,7,0,16,112,1991
Roy Tarpley,5,171,43,79,0,16,18,55,12,6,9,13,102,1991
Terry Teagle,82,1498,335,757,0,145,177,181,82,31,8,83,815,1991
Reggie Theus,81,2955,583,1247,52,292,343,229,378,85,35,252,1510,1991
Irving Thomas,26,108,17,50,0,12,21,31,10,4,1,13,46,1991
Isiah Thomas*,48,1657,289,665,19,179,229,160,446,75,10,185,776,1991
Jim Thomas,3,14,1,4,0,0,0,0,1,1,0,1,2,1991
Billy Thompson,73,1481,205,411,0,89,124,312,111,32,48,117,499,1991
LaSalle Thompson,82,1946,276,565,1,72,104,563,147,63,63,168,625,1991
Mychal Thompson,72,1077,113,228,0,62,88,228,21,23,23,47,288,1991
Bob Thornton,12,110,4,13,0,8,10,15,1,0,3,9,16,1991
Otis Thorpe,82,3039,549,988,3,334,480,846,197,73,20,217,1435,1991
Sedale Threatt,80,2066,433,835,10,137,173,99,273,113,8,138,1013,1991
Wayman Tisdale,33,1116,262,542,0,136,170,253,66,23,28,82,660,1991
Tom Tolbert,62,1371,183,433,7,127,172,275,76,35,38,80,500,1991
Andy Toolson,47,470,50,124,12,25,33,67,31,14,2,24,137,1991
Kelly Tripucka,77,1289,187,412,15,152,167,176,159,33,13,92,541,1991
Trent Tucker,65,1194,191,434,64,17,27,105,111,44,9,46,463,1991
Andre Turner,70,1407,168,383,12,64,87,152,311,63,0,95,412,1991
Jeff Turner,71,1683,259,532,6,85,112,363,97,29,10,126,609,1991
Kelvin Upshaw,48,514,104,231,7,55,64,55,86,28,5,39,270,1991
Darnell Valentine,65,1841,230,496,6,143,172,172,351,98,12,126,609,1991
