measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All Ages,358,Yellow fever,1,Number,1990,12676.955641557874,26771.94212790547,4739.644095404647
1,Deaths,1,Global,3,Both,22,All Ages,359,Rabies,1,Number,1990,26028.608139619788,40715.56058957063,9746.854757952147
1,Deaths,1,Global,3,Both,22,All Ages,360,Intestinal nematode infections,1,Number,1990,7893.554251912522,10286.06575287936,6168.958187276237
1,Deaths,1,Global,3,Both,22,All Ages,365,Other neglected tropical diseases,1,Number,1990,10971.256277432662,27404.16673521373,6767.065930739354
1,Deaths,1,Global,3,Both,22,All Ages,366,Maternal disorders,1,Number,1990,302586.0484916186,336433.33447882236,274432.48485002597
1,Deaths,1,Global,3,Both,22,All Ages,380,Neonatal disorders,1,Number,1990,3005945.1505665286,3229594.066181398,2807527.394577698
1,Deaths,1,Global,3,Both,22,All Ages,387,Protein-energy malnutrition,1,Number,1990,656313.6139933399,877702.3765680938,495905.38709873793
1,Deaths,1,Global,3,Both,22,All Ages,515,Asthma,1,Number,1990,460012.23628135654,599600.9986229513,342615.59336902323
1,Deaths,1,Global,3,Both,22,All Ages,516,Interstitial lung disease and pulmonary sarcoidosis,1,Number,1990,63696.5792470785,80625.00778082182,50957.77809434202
1,Deaths,1,Global,3,Both,22,All Ages,520,Other chronic respiratory diseases,1,Number,1990,26106.92260317855,32806.08015412285,20542.474386031598
1,Deaths,1,Global,3,Both,22,All Ages,521,Cirrhosis and other chronic liver diseases,1,Number,1990,1012975.2466180514,1073877.2313558778,948941.2402930213
1,Deaths,1,Global,3,Both,22,All Ages,529,Appendicitis,1,Number,1990,42770.222319392204,53168.26945516916,31840.37192814633
1,Deaths,1,Global,3,Both,22,All Ages,530,Paralytic ileus and intestinal obstruction,1,Number,1990,155387.50049912804,170148.64247691914,135913.56140528078
1,Deaths,1,Global,3,Both,22,All Ages,531,"Inguinal, femoral, and abdominal hernia",1,Number,1990,40140.8395365522,45418.00016691556,32804.109804380416
1,Deaths,1,Global,3,Both,22,All Ages,532,Inflammatory bowel disease,1,Number,1990,24294.71769162125,28375.622589190218,20257.712809462955
1,Deaths,1,Global,3,Both,22,All Ages,533,Vascular intestinal disorders,1,Number,1990,54583.11996127212,57303.20502906351,51202.50729951837
1,Deaths,1,Global,3,Both,22,All Ages,534,Gallbladder and biliary diseases,1,Number,1990,82430.35151416452,90659.23773309418,66628.53840869272
1,Deaths,1,Global,3,Both,22,All Ages,695,Other transport injuries,1,Number,1990,76685.36165827488,85506.34760268714,68132.05862441097
1,Deaths,1,Global,3,Both,22,All Ages,697,Falls,1,Number,1990,403575.21850740834,445928.64303722646,369191.57712407835
1,Deaths,1,Global,3,Both,22,All Ages,698,Drowning,1,Number,1990,460664.70760974323,504304.37137461634,402063.4554104249
1,Deaths,1,Global,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,1990,123213.46121328656,151399.4110483833,95472.73071047792
1,Deaths,1,Global,3,Both,22,All Ages,700,Poisonings,1,Number,1990,87999.78706360924,95712.43440593313,77834.40813722851
1,Deaths,1,Global,3,Both,22,All Ages,704,Exposure to mechanical forces,1,Number,1990,123784.10645583786,140011.66108074156,110954.93631293027
1,Deaths,1,Global,3,Both,22,All Ages,708,Adverse effects of medical treatment,1,Number,1990,97302.9265944246,111383.89832464806,75963.8024532475
1,Deaths,1,Global,3,Both,22,All Ages,709,Animal contact,1,Number,1990,103172.88804749513,122204.30198428022,66649.34881754935
1,Deaths,1,Global,3,Both,22,All Ages,712,Foreign body,1,Number,1990,124632.87234721298,135619.82874431746,115711.63448936012
1,Deaths,1,Global,3,Both,22,All Ages,716,Other unintentional injuries,1,Number,1990,122386.46599688732,140764.82906396274,100007.62901398407
1,Deaths,1,Global,3,Both,22,All Ages,1023,Other cardiovascular and circulatory diseases,1,Number,1990,194508.04610768807,219539.97848332656,180191.36901964177
1,Deaths,1,Global,3,Both,22,All Ages,345,Malaria,1,Number,2019,643380.8953162505,1153663.5704470123,301600.51602618373
1,Deaths,1,Global,3,Both,22,All Ages,346,Chagas disease,1,Number,2019,9487.781492107388,16518.65266255281,5499.967848367645
1,Deaths,1,Global,3,Both,22,All Ages,347,Leishmaniasis,1,Number,2019,5713.154836933513,18668.74216988576,1692.812165853324
1,Deaths,1,Global,3,Both,22,All Ages,350,African trypanosomiasis,1,Number,2019,1360.1152109933842,2576.2281388218285,609.4004530374924
1,Deaths,1,Global,3,Both,22,All Ages,351,Schistosomiasis,1,Number,2019,11514.288050090596,13275.646851444846,10135.913988384458
